+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+
|/¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯\|
||                       Breath of Fire SNES                       ||
||                          Weapon Guide                           ||
||                          Version: 1.0                           ||
||                     Created By: Poopnug148                      ||
||                     poopnug.poo@verizon.net                     ||
|\_________________________________________________________________/|
+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+


+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+
|/¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯\|
||                       0. Version History                        ||
|\_________________________________________________________________/|
+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+

Version FINAL
5-21-02
Five month anniversary of this guide that nobody has probably even
looked at! Just an update of my email address.

Version 1.0
12-21-01
Everything Complete. Will only be updated if some corrections are
pointed out to me. Be on the look out for my walkthrough for this great
game.


+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+
|/¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯\|
||                          1. Contents                            ||
|\_________________________________________________________________/|
+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+

0.           Version History
1.           Contents
2.           Weapons
3.           Armors
4.           Shields
5.           Helmets
6.           Closing


+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+
|/¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯\|
||                           2. Weapons                            ||
|\_________________________________________________________________/|
+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+

Here is as complete of a list I could make for the about 75 weapons in
this wonderful game. Here is what some of the abbreviations I will be
using mean.

Characters
R=Ryu(Hero)
N=Nina
B=Bo
K=Karn
G=Gobi
O=Ox
Bl=Bleu
M=Mogu

Weapon Type
SD=Sword
RP=Rapier
HR=Hammer
CN=Cane
SP=Spear
CW=Claw
DR=Dagger
BW=Bow

Misc
AP=Attack Power
X=No
O=Yes

Name          Weight   AP   Price   Used as Item   Equip with
|/¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯\|
||                           4. Shields                            ||
|\_________________________________________________________________/|
+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+

Time for the shields list. Here are the abbreviations.

Characters
R=Ryu(Hero)
N=Nina
B=Bo
K=Karn
G=Gobi
O=Ox
Bl=Bleu
M=Mogu

Shield Type
GL=Glove
SH=Shield
BR=Bracelet
RG=Ring
SL-Scale

DP=Defense Power

Name      Weight   DP   Price   Equip With
ArmPad         2    8     300   R B G
Bandage        1    5     500   RNBKGOBlM
Bracelet       3   12    1200    N    Bl
BronzSH        3    8     500   R BKGO  M
ColdSH        15   50   10000   R B  O
DarkBR         0    0     100      K
DragonSH       5  128     N/A   R
DreamRG        0    0    1000   RNBKGOBlM
FlameSH        5   52   50000   R BKGO  M
Gauntlet       1    8     800   RNBKGOBlM
Glove          6   20    3000     B
GuardSH       10   32   10000   RNBKGO  M
HuntGL         8   30    4500     B
IcySH          5   30    4000   RNBKGOBlM
IronSH         4   12    1000   R BKGO  M
IronSL         5   22    2000       G
LightSH       10   36    4000    N    Bl
LoveBR         0    0   12000    N    Bl
MagicRG        0    0    2500    N    Bl
MaskSH         8   65   20000   RNBKGOBlM
MetalSH        5   16    1400   R BKGO  M
MetalSL        5   25    3000       G
MystSH         5   48   20000   R B  O  M
ProSH          5   32    5000   R BKGO  M
RubyBR         0    0   30000    N    BlM
SilverBR       0    0   10000   RNBKGOBlM
SkullRG        0   10     100   RNBKGOBlM
SkySH          1   15     300    N
SmartRG        0    0    1111   RNBKGOBlM
StarSH         2   70   29000   R BKGO  M
SuedeSH        1    2     150   RNBKGOBlM
TrapGrd        4   40   10000      K
WindBR         0    0    4000    N    Bl
WoodSH         2    5     300   R  K
Wrist          2   10     700   RNBKGOBlM


+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+
|/¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯\|
||                           5. Helmets                            ||
|\_________________________________________________________________/|
+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+

And finally it's time for the helmet list. Once again here are the
abbreviations.

Characters
R=Ryu(Hero)
N=Nina
B=Bo
K=Karn
G=Gobi
O=Ox
Bl=Bleu
M=Mogu

Helmet Type
HT=Helmet
SF=Scarf

DP=Defense Power

Name      Weight    DP    Price    Equip With
AgileHT        1    42     5500    RNBKGOBlM
Bandana        1     5      400    RNBKGOBlM
BronzHT        4    10     1200    R BKGO  M
ChainHT        8    25     2500    RNBKGOBlM
CursedHT      20    62      100    RNBKGOBlM
DivingHT       6    32     4000        G
Domino         7    42    30000     N    Bl
DragonHT       1    80      N/A    R
EchoHT         3    28     2000    RNBKGOBlM
FaceMask       6    35     6000    R  K    M
G.Tiara        5     2    20000     N    Bl
GaiaMask       4    36     8000    R    O  M
GoldHT         6    14    20000    RNBKGOBlM
HairBand       2     8     1000     N    Bl
HeadGear       5    16     2800    RNBKGOBlM
HornHT         6    37     5000    R BKGO  M
IcyHT          6    16      N/A    R B  O
IronHT         6    32     7000    R BKGO  M
IronMask       7    30     4000         O
LoveHT        10    64      100     N
MystSF         0     0      100     N    Bl
NiceHT         3     6      600    RNBKGOBlM
PowerHT        3    44    20000       KG
ShellHT        1    25     2000        G
SkullHT       10    25     1420    RNBKGOBlM
StoneHT       16    48     6000            M
StrawHT        1     2      200    RNBKGOBlM
SuedeHT        3     6      200    RNBKGOBlM
SunHT          8    12     2500    R BKGO  M
Tiara          2    10     1500     N    Bl
TideHT         0     0     1111    RNBKGOBlM
Turban         1    11     2000    RNBKGOBlM
Visor          2     6      800    R BKGO  M
WolfHT         4    12     1332      B


+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+
|/¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯\|
||                           5. Closing                            ||
|\_________________________________________________________________/|
+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+-=-+

Well that's it. I hope this helped you out in some way. If you have any
corrections, suggestions, comments or anything else send them to
poopnug.poo@verizon.net and I will get back to you as soon as possible.
Be on the lookout for my walkthrough for Breath of Fire for GBA coming
soon.
